コード,銘柄名,業種33,規模,候補
3396,フェリシモ,小売業,-,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
8904,ＡＶＡＮＴＩＡ,不動産業,-,不動産開発・デベロッパー / 不動産管理・仲介・賃貸
8165,千趣会,小売業,TOPIX Small 2,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
7851,カワセコンピュータサプライ,その他製品,-,住宅設備・家具・生活用品 / 玩具・スポーツ・文具・雑貨
4234,サンエー化研,化学,-,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
3261,グランディーズ,不動産業,-,不動産開発・デベロッパー / 不動産管理・仲介・賃貸
9767,日建工学,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
7442,中山福,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
4624,イサム塗料,化学,-,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
7857,セキ,その他製品,-,住宅設備・家具・生活用品 / 玩具・スポーツ・文具・雑貨
6467,ニチダイ,機械,-,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
9914,植松商会,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
8995,誠建設工業,不動産業,-,不動産開発・デベロッパー / 不動産管理・仲介・賃貸
1994,高橋カーテンウォール工業,建設業,-,ゼネコン・総合建設 / 設備工事・専門工事
9162,ブリーチ,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
8046,丸藤シートパイル,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
8147,トミタ,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
7624,ＮａＩＴＯ,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
8119,三栄コーポレーション,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
4341,西菱電機,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
7538,大水,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
9929,平和紙業,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
7877,永大化工,化学,-,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
9872,北恵,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
6262,ＰＥＧＡＳＵＳ,機械,TOPIX Small 2,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
4839,ＷＯＷＯＷ,情報・通信業,TOPIX Small 2,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
6228,ジェイ・イー・ティ,機械,-,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
2193,クックパッド,サービス業,TOPIX Small 2,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
2499,日本和装ホールディングス,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
7991,マミヤ・オーピー,機械,-,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
7887,南海プライウッド,その他製品,-,住宅設備・家具・生活用品 / 玩具・スポーツ・文具・雑貨
7841,遠藤製作所,その他製品,-,住宅設備・家具・生活用品 / 玩具・スポーツ・文具・雑貨
6346,キクカワエンタープライズ,機械,-,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
6054,リブセンス,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
4231,タイガースポリマー,化学,-,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
2917,大森屋,食料品,-,食品製造・飲料・酒類 / 調味料・菓子・冷凍食品
1420,サンヨーホームズ,建設業,-,ゼネコン・総合建設 / 設備工事・専門工事
6867,リーダー電子,電気機器,-,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
1758,太洋基礎工業,建設業,-,ゼネコン・総合建設 / 設備工事・専門工事
7871,フクビ化学工業,化学,-,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
8135,ゼット,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
3320,クロスプラス,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
9854,愛眼,小売業,-,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
6393,油研工業,機械,-,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
4629,大伸化学,化学,-,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
7531,清和中央ホールディングス,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
7434,オータケ,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
3246,コーセーアールイー,不動産業,-,不動産開発・デベロッパー / 不動産管理・仲介・賃貸
6342,太平製作所,機械,-,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
1850,南海辰村建設,建設業,-,ゼネコン・総合建設 / 設備工事・専門工事
7937,ツツミ,その他製品,TOPIX Small 2,住宅設備・家具・生活用品 / 玩具・スポーツ・文具・雑貨
4224,ロンシール工業,化学,-,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
4705,クリップコーポレーション,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
7670,オーウエル,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
6694,ズーム,電気機器,-,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
2795,日本プリメックス,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
3758,アエリア,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
7435,ナ・デックス,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
7422,東邦レマック,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
3236,プロパスト,不動産業,-,不動産開発・デベロッパー / 不動産管理・仲介・賃貸
3161,アゼアス,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
8938,グローム・ホールディングス,不動産業,-,不動産開発・デベロッパー / 不動産管理・仲介・賃貸
6292,カワタ,機械,-,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
3668,コロプラ,情報・通信業,TOPIX Small 1,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
6748,星和電機,電気機器,-,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
9972,アルテック,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
6335,東京機械製作所,機械,-,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
7021,ニッチツ,機械,-,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
2814,佐藤食品工業,食料品,-,食品製造・飲料・酒類 / 調味料・菓子・冷凍食品
6899,ＡＳＴＩ,電気機器,-,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
7997,くろがね工作所,その他製品,-,住宅設備・家具・生活用品 / 玩具・スポーツ・文具・雑貨
4360,マナック・ケミカル・パートナーズ,化学,-,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
3632,グリーホールディングス,情報・通信業,TOPIX Small 2,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
6718,アイホン,電気機器,TOPIX Small 2,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
9876,コックス,小売業,-,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
8869,明和地所,不動産業,TOPIX Small 2,不動産開発・デベロッパー / 不動産管理・仲介・賃貸
3537,昭栄薬品,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
6497,ハマイ,機械,-,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
2168,パソナグループ,サービス業,TOPIX Small 1,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
5079,ノバック,建設業,-,ゼネコン・総合建設 / 設備工事・専門工事
8281,ゼビオホールディングス,小売業,TOPIX Small 1,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
3765,ガンホー・オンライン・エンターテイメント,情報・通信業,TOPIX Small 1,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
1853,森組,建設業,-,ゼネコン・総合建設 / 設備工事・専門工事
7908,きもと,化学,-,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
4627,ナトコ,化学,-,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
4243,ニックス,化学,-,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
4625,アトミクス,化学,-,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
7521,ムサシ,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
6743,大同信号,電気機器,-,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
6150,タケダ機械,機械,-,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
7975,リヒトラブ,その他製品,-,住宅設備・家具・生活用品 / 玩具・スポーツ・文具・雑貨
3477,フォーライフ,不動産業,-,不動産開発・デベロッパー / 不動産管理・仲介・賃貸
7464,セフテック,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
4365,松本油脂製薬,化学,-,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
3639,ボルテージ,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
7865,ピープル,その他製品,-,住宅設備・家具・生活用品 / 玩具・スポーツ・文具・雑貨
2491,バリューコマース,サービス業,TOPIX Small 2,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
5078,セレコーポレーション,建設業,-,ゼネコン・総合建設 / 設備工事・専門工事
3054,ハイパー,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
3297,東武住販,不動産業,-,不動産開発・デベロッパー / 不動産管理・仲介・賃貸
9895,コンセック,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
6159,ミクロン精密,機械,-,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
2489,アドウェイズ,サービス業,TOPIX Small 2,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
8159,立花エレテック,卸売業,TOPIX Small 2,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
143A,イシン,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
4644,イマジニア,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
3710,ジョルダン,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
8076,カノークス,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
7486,サンリン,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
7957,フジコピアン,その他製品,-,住宅設備・家具・生活用品 / 玩具・スポーツ・文具・雑貨
3131,シンデン・ハイテックス,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
7885,タカノ,その他製品,-,住宅設備・家具・生活用品 / 玩具・スポーツ・文具・雑貨
3134,Ｈａｍｅｅ,小売業,TOPIX Small 2,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
6325,タカキタ,機械,-,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
6797,名古屋電機工業,電気機器,-,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
7628,オーハシテクニカ,卸売業,TOPIX Small 2,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
6276,シリウスビジョン,電気機器,-,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
7472,鳥羽洋行,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
6151,日東工器,機械,TOPIX Small 2,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
7537,丸文,卸売業,TOPIX Small 2,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
6820,アイコム,電気機器,TOPIX Small 2,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
2221,岩塚製菓,食料品,-,食品製造・飲料・酒類 / 調味料・菓子・冷凍食品
8141,新光商事,卸売業,TOPIX Small 2,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
9932,杉本商事,卸売業,TOPIX Small 2,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
6778,アルチザネットワークス,電気機器,-,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
4170,Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
6158,和井田製作所,機械,-,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
3386,コスモ・バイオ,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
7928,旭化学工業,化学,-,基礎化学・石油化学 / 機能性化学・先端材料 / 日用化学品・化粧品
2497,ユナイテッド,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
3851,日本一ソフトウェア,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
9867,ソレキア,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
7953,菊水化学工業,その他製品,-,住宅設備・家具・生活用品 / 玩具・スポーツ・文具・雑貨
1887,日本国土開発,建設業,TOPIX Small 2,ゼネコン・総合建設 / 設備工事・専門工事
1793,大本組,建設業,-,ゼネコン・総合建設 / 設備工事・専門工事
7872,エステールホールディングス,その他製品,-,住宅設備・家具・生活用品 / 玩具・スポーツ・文具・雑貨
3417,大木ヘルスケアホールディングス,卸売業,-,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
3277,サンセイランディック,不動産業,-,不動産開発・デベロッパー / 不動産管理・仲介・賃貸
6349,小森コーポレーション,機械,TOPIX Small 1,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
7614,オーエムツーネットワーク,小売業,-,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
8075,神鋼商事,卸売業,TOPIX Small 2,総合商社・貿易 / 食品・農産物卸 / 機械・電子部品卸 / 建材・資材・エネルギー卸 / 医薬品卸・その他専門卸
6360,東京自働機械製作所,機械,-,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
9414,日本ＢＳ放送,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
6907,ジオマテック,電気機器,-,半導体・半導体製造装置 / 電子部品・デバイス / 重電・産業用電機 / 民生電機・情報端末
3641,パピレス,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
2654,アスモ,小売業,-,百貨店・総合スーパー / 食品スーパー・コンビニ / ドラッグストア・HC / 衣料・家電・専門店 / 飲食チェーン・中食 / EC・通販・無店舗販売
4829,日本エンタープライズ,情報・通信業,-,通信キャリア・放送 / SI・受託開発(大手) / SI・受託開発(中堅) / ソフトウェア・SaaS / Webプラットフォーム・EC / ゲーム・デジタルコンテンツ / サイバーセキュリティ・クラウド / AI・データ・IoT / DX支援・ITコンサルティング / その他ITサービス
2449,プラップジャパン,サービス業,-,人材サービス・派遣 / コンサルティング・BPO / 広告・PR・マーケティング / 教育・研修・資格 / 医療・介護・福祉サービス / ホテル・旅行・レジャー / 環境・リサイクル・ビル管理 / エンタメ・スポーツ・その他サービス
6358,酒井重工業,機械,TOPIX Small 2,産業機械・工作機械 / 建設機械・農業機械 / 自動化・ロボティクス
